year,UF,Codmun6,code_city,life_exp,year_edu,population,hdi
1991,35,351020,3510203,65.02,9.14,46243,0.428
1991,35,351030,3510302,67.88,9.82,10700,0.433
1991,35,351040,3510401,70.71,8.28,33767,0.565
1991,35,351050,3510500,67.49,9.65,51889,0.519
1991,35,351060,3510609,69.79,9.13,282227,0.519
1991,35,351070,3510708,66.95,10.02,12179,0.504
1991,35,351080,3510807,68.95,9.59,23906,0.56
1991,35,351090,3510906,71.17,10.43,2713,0.487
1991,35,351100,3511003,67.67,9.18,14551,0.502
1991,35,351110,3511102,71.16,10.28,90019,0.582
1991,35,351120,3511201,68.51,9.34,6260,0.472
1991,35,351130,3511300,70.98,9.71,5679,0.528
1991,35,351140,3511409,65.51,9.76,13088,0.494
1991,35,351150,3511508,70.08,9.7,20043,0.559
1991,35,351160,3511607,68.07,9.93,10188,0.485
1991,35,351170,3511706,68.15,9.7,10688,0.515
1991,35,351190,3511904,69.58,10.17,4836,0.526
1991,35,351200,3512001,70.05,9,15812,0.522
1991,35,351210,3512100,67.02,8.11,5245,0.466
1991,35,351220,3512209,67.71,9.19,19228,0.468
1991,35,351230,3512308,68.95,10.38,11826,0.538
1991,35,351240,3512407,70.57,10.19,13296,0.578
1991,35,351250,3512506,67.65,9.85,3843,0.479
1991,35,351260,3512605,65.07,9.81,5722,0.401
1991,35,351270,3512704,69.99,10.09,3124,0.48
1991,35,351280,3512803,69.51,9.21,35539,0.529
1991,35,351290,3512902,67.15,10.27,7827,0.494
1991,35,351300,3513009,70.25,9.2,105520,0.557
1991,35,351310,3513108,69.97,8.93,22488,0.521
1991,35,351320,3513207,67.76,8.36,5593,0.441
1991,35,351330,3513306,69.52,9.64,2691,0.518
1991,35,351340,3513405,67.18,9.92,68202,0.556
1991,35,351350,3513504,65.02,8.28,89653,0.517
1991,35,351360,3513603,66.85,8.39,23337,0.39
1991,35,351370,3513702,70.11,9.46,25727,0.544
1991,35,351380,3513801,68.12,9.03,302906,0.528
1991,35,351385,3513850,66.3,10.06,1831,0.468
1991,35,351390,3513900,68.67,10.28,11559,0.464
1991,35,351400,3514007,70.01,8.94,6697,0.471
1991,35,351410,3514106,68.17,9.58,18725,0.529
1991,35,351420,3514205,67.27,10.09,2090,0.504
1991,35,351430,3514304,67.18,10.3,7684,0.544
1991,35,351440,3514403,66.67,10.47,39406,0.574
1991,35,351450,3514502,68.02,9.07,11845,0.53
1991,35,351460,3514601,69.91,9.34,4966,0.558
1991,35,351470,3514700,69.66,9.54,6304,0.504
1991,35,351480,3514809,66.67,9.6,12769,0.45
1991,35,351490,3514908,67.59,8.93,11566,0.443
1991,35,351492,3514924,67.27,8.71,2481,0.473
1991,35,351495,3514957,68.28,9.23,2422,0.455
1991,35,351500,3515004,68.08,8.91,155406,0.487
1991,35,351510,3515103,66.73,8.7,35995,0.483
1991,35,351512,3515129,66.6,8.93,2817,0.449
1991,35,351515,3515152,67.65,9.39,6222,0.472
1991,35,351518,3515186,71.75,10.11,36405,0.561
1991,35,351519,3515194,66.3,8.29,2894,0.359
1991,35,351520,3515202,69.11,9.81,8404,0.516
1991,35,351530,3515301,68.11,9.77,2777,0.458
1991,35,351535,3515350,66.01,9.05,9404,0.41
1991,35,351540,3515400,66.16,9.97,14099,0.484
